year,propClinical,propJunior,propSenior,over70,over70Clinical,under40,under40Clinical,female,femaleClinical,femaleClinicalOnly,minority,minorityClinical,minorityClinicalOnly,minorityFemale,minorityMale,age,propCollegeDeg,propLawDeg,propAdvLawDeg,propGradDeg
1984,0.0310745039311119,0.334706102583302,0.634219393485586,0.0149601709733826,0.0145999241562382,0.40878181464931,0.418467956010618,0.151198762567672,0.161109029599101,0.469879518072289,0.062789799072643,0.0615874204417821,0.0240963855421687,0.0121739130434783,0.0504347826086957,44.806598407281,0.883887171561051,0.968315301391035,0.307959814528594,0.307959814528594
1985,0.0339805825242718,0.317774458551158,0.648244958924571,0.0155551234687925,0.0151257326526754,0.380711646898697,0.392323690678767,0.155452436194896,0.165670526709003,0.456043956043956,0.0688055662930035,0.0674010455563854,0.0274725274725275,0.0141117340034796,0.0545138217668664,45.1584420495368,0.889640510243525,0.967143409354465,0.317162736760727,0.317162736760727
1986,0.0384758364312268,0.312267657992565,0.649256505576208,0.01301729162619,0.0126058325493885,0.359626967165339,0.371777986829727,0.163217946238639,0.173670509483079,0.434782608695652,0.074424898511502,0.0730483271375465,0.0386473429951691,0.0168213457076566,0.0574245939675174,45.3934148635936,0.895418519234487,0.968683549197758,0.324763193504736,0.324763193504736
1987,0.0410379094589621,0.296834744203165,0.662127346337873,0.0142746913580247,0.0138085463705915,0.332947530864198,0.34372084344094,0.171785028790787,0.184612552917357,0.484304932735426,0.0786797159854155,0.0772911299227089,0.0448430493273543,0.0186180422264875,0.0598848368522073,45.7971636499347,0.897332565726348,0.968528113605834,0.330646708885051,0.330646708885051
1988,0.0373797858827799,0.294501905280348,0.668118308836872,0.0155273622419996,0.015032080659945,0.302594205642871,0.312557286892759,0.180584354382658,0.191616766467066,0.475728155339806,0.0835061262959472,0.0821992378878606,0.0485436893203884,0.0216776625824694,0.0618284637134779,46.1893675527039,0.902167766258247,0.969462770970782,0.336286522148916,0.336286522148916
1989,0.0383931745467473,0.286526839672947,0.675079985780306,0.0161679985132875,0.015633423180593,0.281546181007248,0.291464510332435,0.190203327171904,0.201030927835052,0.472222222222222,0.0896487985212569,0.0883398506932101,0.0555555555555556,0.0245841035120148,0.0650646950092421,46.5234501347709,0.904251386321627,0.969500924214418,0.34177449168207,0.34177449168207
1990,0.0403710702628414,0.287064078337056,0.672564851400103,0.0154537286612758,0.0149253731343284,0.269901168014376,0.278375564040264,0.202828499820981,0.215942277959114,0.527659574468085,0.09828141783029,0.0975777357842295,0.0808510638297872,0.029359112065879,0.068922305764411,46.715203054495,0.907626208378088,0.972252058718224,0.345685642678124,0.345685642678124
1991,0.0434274260898614,0.286955069316853,0.669617504593286,0.0170175438596491,0.0163989856297549,0.257719298245614,0.264412510566357,0.213375240090798,0.2266577584767,0.519230769230769,0.106862231534835,0.106063136796392,0.0884615384615385,0.034398463418893,0.072463768115942,47.0246830092984,0.908852802514405,0.971887550200803,0.348873755893138,0.348873755893138
1992,0.0460450583785562,0.280381516197994,0.67357342542345,0.0148995148995149,0.0144662454273362,0.240990990990991,0.245926172264716,0.221168764006206,0.23466535109357,0.514285714285714,0.1156697121186,0.114619306035192,0.0928571428571429,0.0389588002068609,0.0767109119117394,47.3300631858996,0.910877434925013,0.971384244095846,0.352353042578866,0.352353042578866
1993,0.046409379579873,0.276176518482332,0.677414101937795,0.0140627679643286,0.0134957208689928,0.223803807237181,0.22761685319289,0.23155737704918,0.2453997720241,0.529824561403509,0.120389344262295,0.119850187265918,0.108771929824561,0.0418374316939891,0.078551912568306,47.7208689927584,0.913422131147541,0.972848360655738,0.352629781420765,0.352629781420765
1994,0.0491463220041487,0.271740864847615,0.679112813148237,0.0139895499747177,0.0133892563316664,0.212877127928535,0.217777060816261,0.239134082899815,0.255465134833254,0.571428571428571,0.125020976673939,0.123663634913037,0.0974025974025974,0.0448061755328075,0.0802148011411311,48.0651718019035,0.915086423896627,0.973317670750126,0.355596576606813,0.355596576606813
1995,0.0504136101139379,0.268612455127205,0.680973934758858,0.0158337456704602,0.0151371807000946,0.208972455879927,0.213812677388836,0.248685075608153,0.266271265803028,0.597523219814242,0.132149901380671,0.130794443577337,0.105263157894737,0.0499671268902038,0.0821827744904668,48.4046042257963,0.917981591058514,0.973865877712032,0.357495069033531,0.357495069033531
1996,0.0530314777484881,0.262056132733757,0.684912389517755,0.0187284376540168,0.0178459611772073,0.195334319040578,0.199436443331246,0.253357353422863,0.269075682382134,0.549707602339181,0.133289667594564,0.131958443169484,0.108187134502924,0.0507697346871929,0.082377988863413,48.9654038822793,0.917471753725233,0.973473063697396,0.359751105289013,0.359751105289013
1997,0.0591224018475751,0.246497305619707,0.694380292532718,0.023656973878758,0.0225891883470946,0.182355840315426,0.186010281975386,0.254664484451719,0.273217310950254,0.569190600522193,0.133856979217804,0.13225558121632,0.106770833333333,0.0504091653027823,0.0833060556464812,49.5206418445241,0.919162166584847,0.973981345115366,0.362624774995909,0.362624774995909
1998,0.0619966570430026,0.240237046041635,0.697614344324571,0.0263714797330295,0.0252191296324773,0.176623799446525,0.180685837305859,0.260249554367201,0.281349749202006,0.601965601965602,0.137718729747246,0.135845616167756,0.105392156862745,0.0525036460865338,0.0850753524550316,49.9263416884515,0.917368762151653,0.972780298120544,0.364873622812703,0.364873622812703
