year,propClinical,propJunior,propSenior,over70,over70Clinical,under40,under40Clinical,female,femaleClinical,femaleClinicalOnly,minority,minorityClinical,minorityClinicalOnly,minorityFemale,minorityMale,age,propCollegeDeg,propLawDeg,propAdvLawDeg,propGradDeg
1984,0.031945788964182,0.327008712487899,0.641045498547919,0.0152733118971061,0.0148932000783853,0.407154340836013,0.417205565353714,0.148829765953191,0.158985282726569,0.466666666666667,0.0478,0.0470474346563408,0.0242424242424242,0.009,0.0388,44.8163825200862,0.888,0.969,0.3108,0.3108
1985,0.0348814800539603,0.310849874735016,0.654268645211023,0.0154587432242522,0.0150185293543983,0.379843404938767,0.391847084064755,0.153784701418015,0.164225134926754,0.453038674033149,0.0535143769968051,0.0526112931200617,0.0276243093922652,0.0111821086261981,0.042332268370607,45.154476301931,0.893370607028754,0.967651757188498,0.32008785942492,0.32008785942492
1986,0.0397389134190824,0.303513150316759,0.656747936264158,0.0128462464873545,0.0124271844660194,0.358691288639101,0.37126213592233,0.161567686462707,0.172427035330261,0.434782608695652,0.0573770491803279,0.056632751007871,0.0386473429951691,0.0133946421431427,0.0439824070371851,45.4058252427185,0.899640143942423,0.969412235105958,0.328068772491004,0.328068772491004
1987,0.042298937784522,0.28850531107739,0.669195751138088,0.0139275766016713,0.0134589502018843,0.331874253879825,0.343010959430879,0.169538522479699,0.182852807283763,0.484304932735426,0.0613982966924143,0.0606980273141123,0.0448430493273543,0.0146563675975441,0.0467419290948703,45.8044606806383,0.90136660724896,0.968706674589028,0.333531392354922,0.333531392354922
1988,0.0384974771070828,0.287049149691646,0.674453373201271,0.0152224824355972,0.014722536806342,0.301912568306011,0.312193280483201,0.178425655976676,0.189871052139787,0.475728155339806,0.0666666666666667,0.0659689777611661,0.0485436893203884,0.0178814382896016,0.0487852283770651,46.1870517176293,0.905928085519922,0.969679300291545,0.338581146744412,0.338581146744412
1989,0.0395314787701318,0.278733528550512,0.681734992679356,0.0155083285468122,0.014980580728685,0.280107218073904,0.290364342518957,0.188643292682927,0.199853587115666,0.472222222222222,0.0735518292682927,0.0728404099560761,0.0555555555555556,0.0211509146341463,0.0524009146341463,46.5293138524135,0.908155487804878,0.969702743902439,0.344321646341463,0.344321646341463
1990,0.0415267715144018,0.279731401307652,0.678741827177947,0.0149833518312986,0.0144565411386757,0.269145394006659,0.277886846332322,0.20151179941003,0.215055663544796,0.527659574468085,0.0822271386430678,0.08216999469871,0.0808510638297872,0.025811209439528,0.0564159292035398,46.7131893628413,0.911135693215339,0.972345132743363,0.348451327433628,0.348451327433628
1991,0.0448198586450612,0.278572659886227,0.676607481468712,0.0170289855072464,0.0163905841325196,0.257608695652174,0.264516129032258,0.211333694279011,0.225133597655577,0.519230769230769,0.0902364194188775,0.0901568695052577,0.0884615384615385,0.0304999097635806,0.0597365096552969,47.0341761115955,0.912651146002527,0.972568128496661,0.35047825302292,0.35047825302292
1992,0.0475301307078595,0.272619249702937,0.679850619589204,0.0148559155181672,0.0144107050952136,0.241632360837659,0.246697546749014,0.219568704330779,0.233576642335766,0.514285714285714,0.0989128497594012,0.0986250212188084,0.0928571428571429,0.0349313847798966,0.0639814649795046,47.3345342254246,0.914275530208519,0.971662805204063,0.354304045624666,0.354304045624666
1993,0.0473143626873211,0.26856373126789,0.684121906044789,0.0140145467447224,0.0134399455597142,0.225119744544971,0.228819326301463,0.230293389890421,0.244317225122074,0.526690391459075,0.103039943442913,0.102710894089914,0.096085409252669,0.0379992930364086,0.0650406504065041,47.7271180673699,0.916224814422057,0.973135383527748,0.354365500176741,0.354365500176741
1994,0.050379914106376,0.264618434093162,0.685001651800462,0.0139664804469274,0.0133533633784009,0.214385474860335,0.219328993490235,0.237780483562359,0.254377271225636,0.567213114754098,0.106105409636459,0.105384869507763,0.0918032786885246,0.0401809010262654,0.0659245086101931,48.0699382406944,0.917898765002609,0.974082449121586,0.357801356757697,0.357801356757697
1995,0.0516628995802389,0.261381982563771,0.68695511785599,0.0158757255035848,0.0151613955004891,0.210481392966883,0.215357026410173,0.246850527749404,0.264772360348725,0.59375,0.113551242764726,0.112851146270584,0.1,0.0449438202247191,0.0686074225400068,48.4002282360613,0.92066734763364,0.974804221995233,0.359550561797753,0.359550561797753
1996,0.0542014111610006,0.254971135343169,0.690827453495831,0.0183611016661,0.0174785564007121,0.197041822509351,0.201165237093381,0.25165338307614,0.267682437850842,0.547337278106509,0.114784672770431,0.114015394483643,0.100591715976331,0.0459555706291335,0.0686789893166017,48.9427091762421,0.919972872160054,0.974228552051543,0.361308918277382,0.361308918277382
1997,0.0603599299251473,0.239528587354674,0.700111482720178,0.0229474757776645,0.0218966350024151,0.183409824919259,0.187087425535341,0.25258518392948,0.27146726143062,0.566137566137566,0.115762711864407,0.114827201783724,0.100263852242744,0.045600949313443,0.070011866418037,49.5010465303494,0.922033898305085,0.975084745762712,0.364576271186441,0.364576271186441
1998,0.0632057716436637,0.233688833124216,0.702948557089084,0.0258954094501429,0.0247501189909567,0.178072977972087,0.181976836427098,0.258415675766203,0.279887041104487,0.599502487562189,0.120227729403885,0.119040150564617,0.0992555831265509,0.0478981745101323,0.0721822140345001,49.9105188005712,0.919959812458138,0.973040857334226,0.366711319490958,0.366711319490958
1999,0.0636036880762619,0.224410064072511,0.711829973433349,0.0303233372424192,0.0289282326904837,0.170547830457363,0.174992096111287,0.263439065108514,0.286071596060653,0.620689655172414,0.122183274912369,0.121425222691045,0.108108108108108,0.0485809682804675,0.0734557595993322,50.3762251027506,0.921548990151894,0.972458688032048,0.371891170088466,0.371891170088466
